E Commerce Stores Name,Phone Number,Email Address,Location,Owner Name,No. of Services
DineIn,+91-9876541200,contact1@ecommerce0.com,Gurugram,Gautam Kapoo,30
Popxo,+91-9876541201,contact2@ecommerce1.com,Chennai, Sairee Chahal,18
CRM Masters Infotech LLP,+91-9876541202,contact3@ecommerce2.com,Banglore,Priyanka Gill,35
Creative Web Graphic Solutions LLC,+91-9876541203,contact4@ecommerce3.com,Pune,"Vidit Aatrey, Sanjeev Barnwal",11
ShopG,+91-9876541204,contact5@ecommerce4.com,Delhi,Amitava Saha,29
Social Beat,+91-9876541205,contact6@ecommerce5.com,Pune,Srisha Reddy,8
Sheroes,+91-9876541206,contact7@ecommerce6.com,Pune,Gautam Kapoo,33
SweeDesi,+91-9876541207,contact8@ecommerce7.com,Banglore,Dhiraj Kacker,42
Meesho,+91-9876541208,contact9@ecommerce8.com,Gurugram,Pankaj Garg,48
SweeDesi,+91-9876541209,contact10@ecommerce9.com,Chennai,Priyanka Gill,38
ShopG,+91-9876541210,contact11@ecommerce10.com,Delhi,Megha Asher,40
Reserv.Place ,+91-9876541211,contact12@ecommerce11.com,Pune,Neerav Jain,15
BrandBag,+91-9876541212,contact13@ecommerce12.com,Gurugram,Gautam Kapoo,33
Gobillion,+91-9876541213,contact14@ecommerce13.com,Banglore,Neerav Jain,36
CRM Masters Infotech LLP,+91-9876541214,contact15@ecommerce14.com,Pune,Anuradha Balasubramanian,37
Reserv.Place ,+91-9876541215,contact16@ecommerce15.com,Banglore,Edwin Rajamohan,41
Tripoto,+91-9876541216,contact17@ecommerce16.com,Banglore,Bhola Meena,46
Freecultr,+91-9876541217,contact18@ecommerce17.com,Pune, Andrew Pinto,35
MakeMyTrip,+91-9876541218,contact19@ecommerce18.com,Gurugram,Vir Sanghvi,40
Teamonk,+91-9876541219,contact20@ecommerce19.com,Banglore, Andrew Pinto,34
SnackExperts,+91-9876541220,contact21@ecommerce20.com,Banglore,Parth Gada,32
Reserv.Place ,+91-9876541221,contact22@ecommerce21.com,Pune, Uday Lakkar,27
Canvera Digital Technologies,+91-9876541222,contact23@ecommerce22.com,Pune,Govardhan K,33
Xpressbees,+91-9876541223,contact24@ecommerce23.com,Gurugram,ankalp Agarwal,41
Unnati Silks Pvt Ltd,+91-9876541224,contact25@ecommerce24.com,Delhi,Ranjeet Naiknavare,41
Tripoto,+91-9876541225,contact26@ecommerce25.com,Delhi,Arpit Rajpurohit,40
Popxo,+91-9876541226,contact27@ecommerce26.com,Chennai,Megha Asher,42
Armilo ,+91-9876541227,contact28@ecommerce27.com,Gurugram, Hari Menon,32
EZMove,+91-9876541228,contact29@ecommerce28.com,Gurugram,Vinit Chordia,50
Vanity Wagon,+91-9876541229,contact30@ecommerce29.com,Delhi, Maqsood Nazir,39
Creative Web Graphic Solutions LLC,+91-9876541230,contact31@ecommerce30.com,Delhi,Dhiraj Kacker,35
Conceptualise,+91-9876541231,contact32@ecommerce31.com,Pune,Neerav Jain,40
Canvera Digital Technologies,+91-9876541232,contact33@ecommerce32.com,Gurugram,Vinod Kulhari,32
EZMove,+91-9876541233,contact34@ecommerce33.com,Gurugram, B. Venkatakrishnan,36
Canvera Digital Technologies,+91-9876541234,contact35@ecommerce34.com,Chennai,Priyanka Gill,38
Robu.in,+91-9876541235,contact36@ecommerce35.com,Pune,hubham Singha,49
Kaamastra,+91-9876541236,contact37@ecommerce36.com,Pune,Raja Varatharaju,47
StoreKing,+91-9876541237,contact38@ecommerce37.com,Pune, B. Venkatakrishnan,50
Xpressbees,+91-9876541238,contact39@ecommerce38.com,Chennai,Parth Gada,46
Tripoto,+91-9876541239,contact40@ecommerce39.com,Pune,Edwin Rajamohan,50
MakeMyTrip,+91-9876541240,contact41@ecommerce40.com,Banglore,Parth Gada,41
CoHo,+91-9876541241,contact42@ecommerce41.com,Delhi,upam Maheshwari,47
Syona Cosmetics,+91-9876541242,contact43@ecommerce42.com,Pune,Priyanka Gill,49
OnlineTyari,+91-9876541243,contact44@ecommerce43.com,Delhi,Srisha Reddy,45
CityFurnish ,+91-9876541244,contact45@ecommerce44.com,Delhi,Abhishek Mishra,48
SweeDesi,+91-9876541245,contact46@ecommerce45.com,Banglore,Gautam Kapoo,48
Teamonk,+91-9876541246,contact47@ecommerce46.com,Gurugram,Santosh Kumar,46
MakeMyTrip,+91-9876541247,contact48@ecommerce47.com,Gurugram,Jeff Bezos (Global Founder),47
BigBasket,+91-9876541248,contact49@ecommerce48.com,Banglore,Govardhan K,49
Xpressbees,+91-9876541249,contact50@ecommerce49.com,Pune,Aakash Agrawal,49
